dropped_column
def_fumbles
def_fumbles_forced
def_interception_yards
def_interceptions
def_pass_defended
def_qb_hits
def_sack_yards
def_sacks
def_safeties
def_tackle_assists
def_tackles_for_loss
def_tackles_for_loss_yards
def_tackles_solo
def_tackles_with_assist
def_tds
fg_att
fg_blocked
fg_blocked_distance
fg_blocked_list
fg_long
fg_made
fg_made_0_19
fg_made_20_29
fg_made_30_39
fg_made_40_49
fg_made_50_59
fg_made_60_
fg_made_distance
fg_made_list
fg_missed
fg_missed_0_19
fg_missed_20_29
fg_missed_30_39
fg_missed_40_49
fg_missed_50_59
fg_missed_60_
fg_missed_distance
fg_missed_list
fg_pct
fumble_recovery_opp
fumble_recovery_own
fumble_recovery_tds
fumble_recovery_yards_opp
fumble_recovery_yards_own
gwfg_att
gwfg_blocked
gwfg_distance
gwfg_made
gwfg_missed
kickoff_return_yards
kickoff_returns
misc_yards
passing_cpoe
pat_att
pat_blocked
pat_made
pat_missed
pat_pct
penalties
penalty_yards
punt_return_yards
punt_returns
